STRUCT,Info,3,,,,,,,,,,,,,,,
CPU name:,Intel(R) Xeon Phi(TM) CPU 7250 @ 1.40GHz,,,,,,,,,,,,,,,,
CPU type:,Intel Xeon Phi (Knights Landing) (Co)Processor,,,,,,,,,,,,,,,,
CPU clock:,1.399950092 GHz,,,,,,,,,,,,,,,,
TABLE,Region MMUL_Region,Group 1 Raw,HBM_CACHE,47,,,,,,,,,,,,,
Region Info,HWThread 0,HWThread 1,HWThread 2,HWThread 3,HWThread 4,HWThread 5,HWThread 6,HWThread 7,HWThread 8,HWThread 9,HWThread 10,HWThread 11,HWThread 12,HWThread 13,HWThread 14,HWThread 15,
RDTSC Runtime [s],0.000613,0.001990,0.002311,0.002382,0.002078,0.002624,0.001475,0.001914,0.001752,0.002155,0.001670,0.002554,0.003022,0.002229,0.002474,0.001836,
call count,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Event,Counter,HWThread 0,HWThread 1,HWThread 2,HWThread 3,HWThread 4,HWThread 5,HWThread 6,HWThread 7,HWThread 8,HWThread 9,HWThread 10,HWThread 11,HWThread 12,HWThread 13,HWThread 14,HWThread 15
EDC_RPQ_INSERTS STAT,EDBOX5C0,8738,0,8738,546.1250,,,,,,,,,,,,
EDC_RPQ_INSERTS STAT,EDBOX6C0,11214,0,11214,700.8750,,,,,,,,,,,,
EDC_RPQ_INSERTS STAT,EDBOX7C0,8781,0,8781,548.8125,,,,,,,,,,,,
EDC_WPQ_INSERTS STAT,EDBOX0C1,3998,0,3998,249.8750,,,,,,,,,,,,
EDC_WPQ_INSERTS STAT,EDBOX1C1,2527,0,2527,157.9375,,,,,,,,,,,,
EDC_WPQ_INSERTS STAT,EDBOX2C1,4125,0,4125,257.8125,,,,,,,,,,,,
EDC_WPQ_INSERTS STAT,EDBOX3C1,2907,0,2907,181.6875,,,,,,,,,,,,
EDC_WPQ_INSERTS STAT,EDBOX4C1,3513,0,3513,219.5625,,,,,,,,,,,,
EDC_WPQ_INSERTS STAT,EDBOX5C1,2458,0,2458,153.6250,,,,,,,,,,,,
EDC_WPQ_INSERTS STAT,EDBOX6C1,4523,0,4523,282.6875,,,,,,,,,,,,
EDC_WPQ_INSERTS STAT,EDBOX7C1,3181,0,3181,198.8125,,,,,,,,,,,,
EDC_MISS_CLEAN STAT,EUBOX0C0,5,0,5,0.3125,,,,,,,,,,,,
EDC_MISS_CLEAN STAT,EUBOX1C0,7,0,7,0.4375,,,,,,,,,,,,
EDC_MISS_CLEAN STAT,EUBOX2C0,4,0,4,0.2500,,,,,,,,,,,,
EDC_MISS_CLEAN STAT,EUBOX3C0,6,0,6,0.3750,,,,,,,,,,,,
EDC_MISS_CLEAN STAT,EUBOX4C0,2,0,2,0.1250,,,,,,,,,,,,
EDC_MISS_CLEAN STAT,EUBOX5C0,6,0,6,0.3750,,,,,,,,,,,,
EDC_MISS_CLEAN STAT,EUBOX6C0,6,0,6,0.3750,,,,,,,,,,,,
EDC_MISS_CLEAN STAT,EUBOX7C0,6,0,6,0.3750,,,,,,,,,,,,
EDC_MISS_DIRTY STAT,EUBOX0C1,6,0,6,0.3750,,,,,,,,,,,,
EDC_MISS_DIRTY STAT,EUBOX1C1,7,0,7,0.4375,,,,,,,,,,,,
EDC_MISS_DIRTY STAT,EUBOX2C1,7,0,7,0.4375,,,,,,,,,,,,
EDC_MISS_DIRTY STAT,EUBOX3C1,6,0,6,0.3750,,,,,,,,,,,,
EDC_MISS_DIRTY STAT,EUBOX4C1,5,0,5,0.3125,,,,,,,,,,,,
EDC_MISS_DIRTY STAT,EUBOX5C1,7,0,7,0.4375,,,,,,,,,,,,
EDC_MISS_DIRTY STAT,EUBOX6C1,7,0,7,0.4375,,,,,,,,,,,,
EDC_MISS_DIRTY STAT,EUBOX7C1,6,0,6,0.3750,,,,,,,,,,,,
MC_CAS_READS STAT,MBOX0C0,1452,0,1452,90.7500,,,,,,,,,,,,
MC_CAS_WRITES STAT,MBOX0C1,10,0,10,0.6250,,,,,,,,,,,,
MC_CAS_READS STAT,MBOX1C0,1453,0,1453,90.8125,,,,,,,,,,,,
MC_CAS_WRITES STAT,MBOX1C1,10,0,10,0.6250,,,,,,,,,,,,
MC_CAS_READS STAT,MBOX2C0,1450,0,1450,90.6250,,,,,,,,,,,,
MC_CAS_WRITES STAT,MBOX2C1,14,0,14,0.8750,,,,,,,,,,,,
MC_CAS_READS STAT,MBOX4C0,1455,0,1455,90.9375,,,,,,,,,,,,
MC_CAS_WRITES STAT,MBOX4C1,11,0,11,0.6875,,,,,,,,,,,,
